,city_fuel_economy,mileage,passenger_car,price,franchise_make
177922,15.0,11303.0,0,62998.0,0
71444,18.0,9952.0,1,57900.0,0
212267,11.0,9247.0,0,83998.0,0
179926,15.0,0.0,0,71680.0,0
263418,17.0,12400.0,1,93888.0,0
63413,16.0,6780.0,1,58977.0,0
146799,17.0,1851.0,1,59997.0,0
231768,18.0,20598.0,0,40998.0,0
157832,13.0,40.0,1,160240.0,0
120165,17.0,10369.0,1,57995.0,0
142508,13.0,7721.0,0,144900.0,0
242061,23.0,8474.0,1,33950.0,0
274746,19.0,39296.0,0,30800.0,0
249992,26.0,26046.0,0,14598.0,0
188585,12.0,8980.0,0,334900.0,0
186558,19.0,34141.0,0,25505.0,0
193962,14.0,16847.0,0,99981.0,0
40737,14.0,3116.0,0,103000.0,0
1260,13.0,30112.0,0,46500.0,0
64664,16.0,38796.0,0,40998.0,0
118434,15.0,12215.0,0,64905.0,0
152624,13.0,15.0,1,155991.0,0
196143,16.0,38283.0,0,42500.0,0
64743,16.0,33.0,1,77000.0,0
150584,17.0,8194.0,0,69900.0,0
63546,16.0,73.0,1,74000.0,0
249868,16.0,4464.0,1,85900.0,0
35045,16.0,14962.0,1,54950.0,0
16796,28.0,37607.0,1,18497.0,0
23376,14.0,0.0,0,130635.0,0
28965,25.0,8500.0,1,20699.0,0
268016,13.0,37.0,1,167177.0,0
196143,16.0,38283.0,0,42500.0,0
231237,17.0,6661.0,1,55645.0,0
50428,13.0,18347.0,0,139900.0,0
178392,30.0,25308.0,1,13505.0,0
154647,16.0,20.0,1,111235.0,0
80026,14.0,12.0,0,100116.0,0
198757,16.0,9653.0,1,66590.0,0
6520,15.0,5244.0,0,65500.0,0
211022,24.0,9980.0,1,43750.0,0
282395,13.0,26.0,1,173035.0,0
255554,14.0,10.0,0,140474.0,0
280556,25.0,2616.0,0,24998.0,0
120783,18.0,1106.0,1,134900.0,0
152281,15.0,7120.0,0,58810.0,0
118110,14.0,15.0,0,106022.0,0
112582,15.0,40.0,0,66545.0,0
149244,15.0,16578.0,0,68998.0,0
79024,16.0,47.0,1,77967.0,0
52936,21.0,5340.0,1,134998.0,0
120783,18.0,1106.0,1,134900.0,0
255681,17.0,8551.0,1,87895.0,0
275286,15.0,33932.0,0,39998.0,0
265454,15.0,43.0,0,75999.0,0
105823,15.0,54609.0,0,40998.0,0
159148,19.0,9307.0,1,49500.0,0
82850,17.0,3327.0,1,74795.0,0
265869,16.0,780.0,1,85880.0,0
197062,14.0,18943.0,0,59995.0,0
141684,17.0,9163.0,1,52881.0,0
264886,28.0,39925.0,1,18497.0,0
255681,17.0,8551.0,1,87895.0,0
150235,14.0,10.0,0,141259.0,0
149344,26.0,9257.0,0,30985.0,0
246606,15.0,7393.0,1,91500.0,0
137696,13.0,44.0,1,174465.0,0
42345,16.0,6686.0,1,86445.0,0
10293,21.0,23148.0,0,22505.0,0
132829,27.0,34427.0,1,17999.0,0
16796,28.0,37607.0,1,18497.0,0
96415,17.0,0.0,1,68478.0,0
209980,16.0,1587.0,1,62915.0,0
92000,15.0,3697.0,0,84370.0,0
80080,14.0,10.0,0,139484.0,0
140074,15.0,5676.0,0,42800.0,0
256955,16.0,0.0,1,89065.0,0
6520,15.0,5244.0,0,65500.0,0
80026,14.0,12.0,0,100116.0,0
142508,13.0,7721.0,0,144900.0,0
240456,28.0,14295.0,1,20390.0,0
46513,14.0,51258.0,0,54498.0,0
157838,21.0,13509.0,0,37688.0,0
170188,18.0,3000.0,1,145000.0,0
80026,14.0,12.0,0,100116.0,0
19946,23.0,10894.0,1,32754.0,0
112699,17.0,75.0,1,59900.0,0
155833,15.0,44.0,0,74999.0,0
95369,16.0,0.0,1,72115.0,0
230307,13.0,45.0,1,179645.0,0
110050,12.0,44933.0,0,18998.0,0
152824,14.0,10173.0,0,75998.0,0
143482,16.0,26.0,1,90985.0,0
19172,12.0,8766.0,0,318995.0,0
112258,16.0,74.0,1,86000.0,0
150393,21.0,2649.0,1,56950.0,0
236429,13.0,52.0,1,158900.0,0
244229,19.0,30452.0,0,27450.0,0
266229,16.0,0.0,1,95595.0,0
184824,17.0,49.0,1,83270.0,0
18829,22.0,6321.0,0,39999.0,0
228075,22.0,43989.0,0,19905.0,0
64743,16.0,33.0,1,77000.0,0
158823,24.0,31515.0,0,18998.0,0
137779,15.0,37012.0,0,40998.0,0
274746,19.0,39296.0,0,30800.0,0
233214,21.0,14827.0,0,26509.0,0
36567,23.0,14948.0,1,28997.0,0
258714,18.0,43212.0,0,27505.0,0
115405,15.0,8455.0,0,63900.0,0
172912,17.0,11425.0,1,49888.0,0
36567,23.0,14948.0,1,28997.0,0
276187,16.0,34.0,1,94075.0,0
242191,17.0,0.0,1,71995.0,0
231768,18.0,20598.0,0,40998.0,0
54300,14.0,10.0,0,137580.0,0
249305,15.0,12.0,0,74500.0,0
28673,16.0,27.0,1,90985.0,0
24891,17.0,0.0,1,89345.0,0
105823,15.0,54609.0,0,40998.0,0
68834,21.0,16366.0,1,47900.0,0
37464,13.0,35.0,1,179142.0,0
237490,23.0,29935.0,1,36500.0,0
218607,16.0,34.0,1,73709.0,0
186558,19.0,34141.0,0,25505.0,0
122031,17.0,6864.0,1,88500.0,0
43198,19.0,2815.0,1,194900.0,0
154647,16.0,20.0,1,111235.0,0
218163,14.0,10.0,0,139484.0,0
21851,16.0,11011.0,1,89155.0,0
162701,19.0,495.0,1,195500.0,0
249158,13.0,0.0,1,182712.0,0
112107,15.0,8278.0,0,63985.0,0
86913,17.0,10.0,1,57985.0,0
81888,16.0,21052.0,0,96900.0,0
24398,26.0,8107.0,0,26998.0,0
4910,17.0,0.0,1,89345.0,0
68922,24.0,0.0,1,35790.0,0
39515,15.0,8322.0,0,62985.0,0
66170,16.0,10386.0,1,56145.0,0
132420,22.0,17580.0,0,35800.0,0
241990,14.0,10.0,0,140514.0,0
86863,14.0,349.0,0,138400.0,0
155021,16.0,10326.0,1,44888.0,0
19172,12.0,8766.0,0,318995.0,0
88685,28.0,40015.0,1,12989.0,0
207839,17.0,6235.0,0,34998.0,0
35927,24.0,22057.0,1,35800.0,0
201414,22.0,12659.0,0,42998.0,0
122906,23.0,4922.0,1,46999.0,0
207659,17.0,100.0,1,59790.0,0
185825,17.0,12583.0,1,49888.0,0
121665,17.0,1469.0,1,118500.0,0
174687,21.0,9070.0,1,38888.0,0
69991,17.0,10.0,1,70745.0,0
167118,16.0,47.0,1,71853.0,0
41883,17.0,8892.0,1,89900.0,0
270782,24.0,12617.0,1,34888.0,0
179926,15.0,0.0,0,71680.0,0
222780,16.0,46.0,1,86000.0,0
82572,16.0,34.0,1,65985.0,0
167661,24.0,11920.0,0,39998.0,0
218607,16.0,34.0,1,73709.0,0
212027,17.0,130.0,1,81330.0,0
155021,16.0,10326.0,1,44888.0,0
169032,18.0,40087.0,0,27905.0,0
79024,16.0,47.0,1,77967.0,0
127950,18.0,46163.0,0,26905.0,0
136228,16.0,9495.0,1,62985.0,0
170188,18.0,3000.0,1,145000.0,0
66170,16.0,10386.0,1,56145.0,0
54300,14.0,10.0,0,137580.0,0
274746,19.0,39296.0,0,30800.0,0
71444,18.0,9952.0,1,57900.0,0
228889,15.0,3525.0,1,43991.0,0
152281,15.0,7120.0,0,58810.0,0
149344,26.0,9257.0,0,30985.0,0
157832,13.0,40.0,1,160240.0,0
165708,22.0,12102.0,1,33950.0,0
122906,23.0,4922.0,1,46999.0,0
115459,20.0,17621.0,0,62950.0,0
243802,13.0,0.0,1,129500.0,0
241990,14.0,10.0,0,140514.0,0
145047,16.0,175.0,1,91445.0,0
152828,22.0,23270.0,0,22998.0,0
115459,20.0,17621.0,0,62950.0,0
128175,14.0,311.0,0,174940.0,0
125875,17.0,15.0,1,89130.0,0
122031,17.0,6864.0,1,88500.0,0
119609,16.0,0.0,1,83995.0,0
226350,15.0,28326.0,0,48450.0,0
132420,22.0,17580.0,0,35800.0,0
